GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gamesUP,com.gamesUP.gamesUP.web.dto,AuthorResponse,0,9,0,0,0,1,0,1,0,1
gamesUP,com.gamesUP.gamesUP.web.dto,PurchaseOrderResponse,0,30,0,0,0,1,0,1,0,1
gamesUP,com.gamesUP.gamesUP.domain,Review,31,3,0,0,13,1,9,1,9,1
gamesUP,com.gamesUP.gamesUP.domain,Wishlist,17,8,0,0,7,2,5,1,5,1
gamesUP,com.gamesUP.gamesUP.domain,Category,0,24,0,0,0,10,0,7,0,7
gamesUP,com.gamesUP.gamesUP.domain,UserAccount,0,45,0,0,0,19,0,13,0,13
gamesUP,com.gamesUP.gamesUP.domain,OrderStatus,0,27,0,0,0,5,0,1,0,1
gamesUP,com.gamesUP.gamesUP.domain,Inventory,24,3,0,0,10,1,7,1,7,1
gamesUP,com.gamesUP.gamesUP.domain,BaseEntity,13,9,0,0,6,3,2,3,2,3
gamesUP,com.gamesUP.gamesUP.domain,BoardGame,0,76,0,0,0,30,0,19,0,19
gamesUP,com.gamesUP.gamesUP.domain,RefreshToken,8,49,2,2,3,17,4,12,2,12
gamesUP,com.gamesUP.gamesUP.domain,OrderLine,3,31,0,0,1,13,1,9,1,9
gamesUP,com.gamesUP.gamesUP.domain,UserRole,0,15,0,0,0,3,0,1,0,1
gamesUP,com.gamesUP.gamesUP.domain,Publisher,0,24,0,0,0,10,0,7,0,7
gamesUP,com.gamesUP.gamesUP.domain,PurchaseOrder,0,53,0,0,0,21,0,14,0,14
gamesUP,com.gamesUP.gamesUP.domain,WishlistItem,17,3,0,0,7,1,5,1,5,1
gamesUP,com.gamesUP.gamesUP.domain,Author,0,17,0,0,0,7,0,5,0,5
gamesUP,com.gamesUP.gamesUP,GamesUpApplication,5,3,0,0,2,1,1,1,1,1
gamesUP,com.gamesUP.gamesUP.service,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
gamesUP,com.gamesUP.gamesUP.service.impl,PurchaseOrderServiceImpl,67,168,5,11,9,39,12,9,7,6
gamesUP,com.gamesUP.gamesUP.service.impl,AuthServiceImpl,5,185,4,10,0,47,5,9,1,6
gamesUP,com.gamesUP.gamesUP.service.impl,BoardGameServiceImpl,38,191,5,15,6,47,8,15,3,10
gamesUP,com.gamesUP.gamesUP.service.impl,PublisherServiceImpl,53,6,0,0,11,3,6,1,6,1
gamesUP,com.gamesUP.gamesUP.service.impl,UserAccountServiceImpl,14,109,3,11,1,27,5,10,2,6
gamesUP,com.gamesUP.gamesUP.service.impl,AuthorServiceImpl,49,6,0,0,10,3,6,1,6,1
gamesUP,com.gamesUP.gamesUP.service.impl,CategoryServiceImpl,53,6,0,0,11,3,6,1,6,1
gamesUP,com.gamesUP.gamesUP.security,RefreshTokenService,12,180,2,2,3,45,2,11,0,11
gamesUP,com.gamesUP.gamesUP.security,RefreshTokenService.RotatedRefreshToken,0,9,0,0,0,1,0,1,0,1
gamesUP,com.gamesUP.gamesUP.security,SecurityConfig,0,118,0,0,0,19,0,7,0,7
gamesUP,com.gamesUP.gamesUP.security,JwtAuthenticationFilter,0,82,4,6,0,23,4,3,0,2
gamesUP,com.gamesUP.gamesUP.security,CustomUserDetailsService,0,43,0,0,0,10,0,3,0,3
gamesUP,com.gamesUP.gamesUP.security,JwtTokenService,0,109,2,6,0,28,2,10,0,8
